sep=;
From#;From Name;To# - Circ#;To Name;Area;Owner;Resistance (pu);Reactance (pu);Line Charg. (pu);Normal Rat.(MVA);Overl. Rat.(MVA);Emerg. Rat.(MVA);ShtF On;GSht From (MW);BSht From (Mvar);ShtT On;GSht To (MW);BSht To (Mvar);Brk From;Brk To;Monitored;R0 (pu);X0 (pu);Type;Name
85;FOZ50--PR500;1103    # 04;MARGEM-PR500;241;0;0.00006;0.00098;0.09691;2728.0;3377.0;3377.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00017;0.00294;TL;FOZ50--PR500 - MARGEM-P 
86;IBIUNA-SP345;82    # 01;TPRET2-SP345;204;0;0.00187;0.02602;0.60100;1280.0;1613.0;2533.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00561;0.07806;TL;IBIUNA-SP345 - TPRET2-S 
86;IBIUNA-SP345;474    # 01;SUL----SP345;204;0;0.00160;0.02252;0.52045;1280.0;1613.0;1280.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00480;0.06756;TL;IBIUNA-SP345 - SUL----S 
86;IBIUNA-SP345;488    # 01;INTERL-SP345;204;0;0.00095;0.01499;0.41910;2020.0;2390.0;2390.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00284;0.04496;TL;IBIUNA-SP345 - INTERL-S 
86;IBIUNA-SP345;488    # 02;INTERL-SP345;204;0;0.00095;0.01499;0.41910;2020.0;2390.0;2390.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00284;0.04496;TL;IBIUNA-SP345 - INTERL-S 
87;RESEND-RJ500;9605    # 01;T.RIO--RJ500;251;0;0.00081;0.01221;1.06800;1855.0;2337.0;1855.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00243;0.03663;TL;RESEND-RJ500 - T.RIO--R 
90;VIANA--ES345;3032    # 01;RNSUL--ES345;302;0;0.00225;0.02468;0.41546;747.0;747.0;853.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00675;0.07404;TL;VIANA--ES345 - RNSUL--E 
99;AS-AR1-SP500;101    # 01;ARARAQ-SP500;202;0;0.00198;0.03098;3.17550;1906.0;1906.0;1906.0;1/ 1;0.0;-90.7;1/ 1;0.0;-73.5;Closed;Closed;YES;0.00594;0.09294;TL;AS-AR1-SP500 - ARARAQ-S 
100;MARIMB-MG500;535    # 01;AVERME-SP500;202;0;0.00153;0.02356;2.03800;1732.0;1732.0;1732.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00459;0.07068;TL;MARIMB-MG500 - AVERME-S 
100;MARIMB-MG500;3110    # 01;M.AGUD-SP500;351;0;0.00125;0.01838;1.60420;1992.0;2390.0;1992.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00376;0.05514;TL;MARIMB-MG500 - M.AGUD-S 
100;MARIMB-MG500;4598    # 01;MARIM2-SP500;351;0;0.00006;0.00097;0.07400;1855.0;2337.0;1855.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00018;0.00291;TL;MARIMB-MG500 - MARIM2-S 
100;MARIMB-MG500;4598    # 02;MARIM2-SP500;351;0;0.00006;0.00086;0.07200;1855.0;2337.0;1855.0;1/ 1;0.0;-100.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00018;0.00258;TL;MARIMB-MG500 - MARIM2-S 
100;MARIMB-MG500;4598    # 03;MARIM2-SP500;351;0;0.00006;0.00082;0.07177;1992.0;2390.0;1992.0;1/ 1;0.0;-100.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00019;0.00247;TL;MARIMB-MG500 - MARIM2-S 
101;ARARAQ-SP500;102    # 01;P.CALD-MG500;202;0;0.00156;0.02460;2.08500;1855.0;2337.0;1855.0;1/ 1;0.0;-73.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00468;0.07380;TL;ARARAQ-SP500 - P.CALD-M 
101;ARARAQ-SP500;103    # 01;CAMPIN-SP500;202;0;0.00150;0.02390;2.02600;1855.0;2337.0;1855.0;1/ 1;0.0;-73.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00450;0.07170;TL;ARARAQ-SP500 - CAMPIN-S 
