sep=;
From#;From Name;To# - Circ#;To Name;Area;Owner;Type;Resistance (pu);Reactance (pu);Normal Rat.(MVA);Overl. Rat.(MVA);Emerg. Rat.(MVA);Tap (pu);Phase Shift (deg);CBus;CBus Name;Tap or Phs Min;Tap or Phs Max;V or Flow Max;V or Flow Min;ShtF On;GSht From (MW);BSht From (Mvar);ShtT On;GSht To (MW);BSht To (Mvar);Brk From;Brk To;Monitored;Connection;R0;X0;Name
87;RESEND-RJ500;42428   #02;ARCEL2-RJ000;251;0;Trafo;0.00000;0.11458;120.0;144.0;144.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.11458;RESEND-RJ500 - ARCEL2-R 
90;VIANA--ES345;2608   #01;VIANT1-ES000;302;0;Trafo;0.00000;0.04847;225.0;270.0;226.0;1.00500;0.00;;;1.005 pu;1.005 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.04847;VIANA--ES345 - VIANT1-E 
90;VIANA--ES345;2618   #02;VIANT2-ES000;302;0;Trafo;0.00000;0.04861;225.0;270.0;150.0;1.00500;0.00;;;1.005 pu;1.005 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.04861;VIANA--ES345 - VIANT2-E 
90;VIANA--ES345;2628   #03;VIANT3-ES000;302;0;Trafo;0.00000;0.04650;225.0;270.0;100.0;1.00500;0.00;;;1.005 pu;1.005 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.04650;VIANA--ES345 - VIANT3-E 
90;VIANA--ES345;42441   #04;VIANT4-ES000;302;0;Trafo;0.00000;0.03081;400.0;480.0;400.0;1.00500;0.00;;;1.005 pu;1.005 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.03081;VIANA--ES345 - VIANT4-E 
91;VIANT1-ES013;2608   #01;VIANT1-ES000;302;0;Trafo;0.00000;0.09700;75.0;75.0;75.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;DYn;0.00000;0.09700;VIANT1-ES013 - VIANT1-E 
95;VIANT2-ES013;2618   #02;VIANT2-ES000;302;0;Trafo;0.00000;0.09773;75.0;75.0;75.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;DYn;0.00000;0.09773;VIANT2-ES013 - VIANT2-E 
96;VIANT3-ES013;2628   #03;VIANT3-ES000;302;0;Trafo;0.00000;0.09830;75.0;75.0;75.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;DYn;0.00000;0.09830;VIANT3-ES013 - VIANT3-E 
99;AS-AR1-SP500;556   #01;ASSIS--SP525;202;0;Trafo;0.00001;0.00001;9999.0;9999.0;50.0;1.05000;0.00;;;1.050 pu;1.050 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00001;0.00001;AS-AR1-SP500 - ASSIS--S 
100;MARIMB-MG500;20   #01;MARIMBUHE002;351;0;Trafo;0.00000;0.03160;1520.0;1520.0;1520.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnD;0.00000;0.03160;MARIMB-MG500 - MARIMBUH 
100;MARIMB-MG500;214   #09;MARIMB-MG000;351;0;OLTC(ON);0.00000;0.02979;560.0;717.0;560.0;1.01900;0.00;213;MARIMB-MG345;0.950 pu;1.050 pu;1.045 pu;1.045 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.02979;MARIMB-MG500 - MARIMB-M 
102;P.CALD-MG500;121   #51;PCAT51-MG000;351;0;Trafo;0.00000;0.02911;600.0;720.0;720.0;1.00000;0.00;;;1.000 pu;1.000 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.02911;P.CALD-MG500 - PCAT51-M 
103;CAMPIN-SP500;124   #51;CAMP51-SP000;202;0;Trafo;0.00000;0.02946;560.0;717.0;560.0;1.05000;0.00;;;1.050 pu;1.050 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.02946;CAMPIN-SP500 - CAMP51-S 
103;CAMPIN-SP500;176   #54;CAMP54-SP000;202;0;Trafo;0.00000;0.02912;560.0;728.0;560.0;1.05000;0.00;;;1.050 pu;1.050 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.02912;CAMPIN-SP500 - CAMP54-S 
104;C.PAUL-SP500;41664   #57;CPAT57-SP000;202;0;Trafo;0.00000;0.04737;250.0;262.0;250.0;1.05000;0.00;;;1.050 pu;1.050 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.04737;C.PAUL-SP500 - CPAT57-S 
