 sep=;
From#; From Name; To# - Circ#; To Name; Area; Type; MVA; % L1; L1(MVA); MW:From-To; Mvar:From-To; Power Factor:From-To; MW:To-From; Mvar:To-From; Power Factor:To-From; MW:Losses; Mvar:Losses; 
5500; TERES2-PI500; 44005    # 04; TSD-T4-PI000; 771; TRAFO; 108.0; 35.99; 300.0; 107.0; -10.9; 0.995 Ind; -107.0; 14.5; -; 0.0; 3.6; 
5501; TERESI-PI230; 5503    # 03; TERESI-PI069; 772; OLTC; 44.2; 44.18; 100.0; 41.6; 14.8; 0.943 Cap; -41.6; -12.4; -; 0.0; 2.4; 
5501; TERESI-PI230; 5503    # 04; TERESI-PI069; 772; OLTC; 42.5; 42.48; 100.0; 40.0; 14.2; 0.943 Cap; -40.0; -11.9; -; 0.0; 2.3; 
5501; TERESI-PI230; 5503    # 05; TERESI-PI069; 772; OLTC; 43.0; 42.96; 100.0; 40.5; 14.3; 0.943 Cap; -40.5; -12.0; -; 0.0; 2.3; 
5501; TERESI-PI230; 5503    # 06; TERESI-PI069; 772; OLTC; 43.1; 43.12; 100.0; 40.6; 14.4; 0.943 Cap; -40.6; -12.1; -; 0.0; 2.3; 
5501; TERESI-PI230; 5503    # 07; TERESI-PI069; 772; OLTC; 44.1; 44.12; 100.0; 41.6; 14.7; 0.943 Cap; -41.6; -12.4; -; 0.0; 2.4; 
5501; TERESI-PI230; 5505    # 01; TSAT1--PI013; 772; OLTC; 28.4; 56.87; 50.0; 26.5; 10.3; 0.932 Cap; -26.5; -8.7; -; 0.0; 1.6; 
5501; TERESI-PI230; 5506    # 02; TSAT2--PI013; 772; OLTC; 26.8; 67.05; 40.0; 25.7; 7.7; 0.958 Cap; -25.7; -5.0; -; 0.0; 2.7; 
5501; TERESI-PI230; 5511    # 01; B.ESPE-PI230; 772; TL; 34.3; 17.21; 199.0; -27.6; -2.3; -; 27.9; -19.9; 0.813 Ind; 0.3; -22.2; 
5501; TERESI-PI230; 5511    # 02; B.ESPE-PI230; 772; TL; 34.4; 17.30; 199.0; -27.6; -12.4; -; 27.9; -20.2; 0.811 Ind; 0.3; -32.5; 
5501; TERESI-PI230; 5525    # 01; C.NETO-MA230; 772; TL; 41.6; 17.86; 233.0; 40.5; -9.1; 0.976 Ind; -40.1; -11.1; -; 0.4; -20.1; 
5502; TERES2-PI230; 5321    # 06; TRT----PI230; 772; TL; 91.6; 21.81; 420.0; 84.6; 31.4; 0.938 Cap; -84.4; -35.7; -; 0.2; -4.3; 
5502; TERES2-PI230; 5500    # 05; TERES2-PI500; 772; OLTC; 180.2; 60.06; 300.0; -106.4; -135.0; -; 106.4; 145.4; 0.590 Cap; 0.0; 10.5; 
5502; TERES2-PI230; 5501    # 04; TERESI-PI230; 772; TL; 107.9; 32.80; 329.0; 107.9; 3.4; 1.000 Cap; -107.3; -5.0; -; 0.5; -1.7; 
5502; TERES2-PI230; 5508    # 01; TSDBP2-PI230; 772; SWITCH; 122.7; 1.23; 9999.0; 107.5; 59.1; 0.876 Cap; -107.5; -59.1; -; 0.0; 0.0; 
5502; TERES2-PI230; 5509    # 01; TERESISIN001; 772; TRAFO; 1.3; 0.86; 150.0; 0.0; -1.3; -; 0.0; 1.3; -; 0.0; 0.0; 
5502; TERES2-PI230; 8471    # 09; TSD-T9-PI000; 772; OLTC; 28.2; 18.79; 150.0; 25.5; 12.0; 0.904 Cap; -25.5; -11.3; -; 0.0; 0.7; 
5502; TERES2-PI230; 44001    # 01; TSD-T1-PI000; 772; OLTC; 113.1; 37.70; 300.0; -112.0; 15.5; -; 112.0; -14.8; 0.991 Ind; 0.0; 0.7; 
5502; TERES2-PI230; 44005    # 04; TSD-T4-PI000; 772; OLTC; 108.0; 36.01; 300.0; -107.0; 14.8; -; 107.0; -14.5; 0.991 Ind; 0.0; 0.3; 
5503; TERESI-PI069; 8034    # 01; TSA.PI-PI069; 773; SWITCH; 46.9; 0.47; 9999.0; 46.2; 7.8; 0.986 Cap; -46.2; -7.8; -; 0.0; 0.0; 
5503; TERESI-PI069; 8035    # 01; TSA.MA-PI069; 773; SWITCH; 169.7; 1.70; 9999.0; 161.2; 53.0; 0.950 Cap; -161.2; -53.0; -; 0.0; 0.0; 
5508; TSDBP2-PI230; 5321    # 05; TRT----PI230; 772; TL; 91.5; 21.79; 420.0; 84.6; 31.3; 0.938 Cap; -84.3; -35.6; -; 0.2; -4.3; 
5508; TSDBP2-PI230; 5501    # 03; TERESI-PI230; 772; TL; 107.9; 32.79; 329.0; 107.8; 3.3; 1.000 Cap; -107.3; -5.0; -; 0.5; -1.7; 
5508; TSDBP2-PI230; 8472    # 10; TSDT10-PI000; 772; OLTC; 26.0; 17.34; 150.0; 25.3; 5.8; 0.975 Cap; -25.3; -5.2; -; 0.0; 0.6; 
5508; TSDBP2-PI230; 44003    # 02; TSD-T2-PI000; 772; OLTC; 111.9; 37.29; 300.0; -110.3; 18.7; -; 110.3; -18.1; 0.987 Ind; 0.0; 0.7; 
5510; B.ESPE-PI500; 5580    # 07; P.DUTR-MA500; 771; TL; 256.1; 14.78; 1732.0; -195.3; -106.9; -; 196.2; 164.5; 0.766 Cap; 0.9; 57.6; 
5510; B.ESPE-PI500; 43980    # 01; BEA-T1-PI000; 771; TRAFO; 20.3; 6.76; 300.0; 20.1; -2.8; 0.991 Ind; -20.1; 2.9; -; 0.0; 0.1; 
5511; B.ESPE-PI230; 8473    # 05; BEA-T5-PI000; 772; OLTC; 33.9; 33.86; 100.0; 31.7; 12.0; 0.935 Cap; -31.6; -10.5; -; 0.0; 1.5; 
5511; B.ESPE-PI230; 8474    # 06; BEA-T6-PI000; 772; OLTC; 33.8; 33.81; 100.0; 31.6; 12.0; 0.935 Cap; -31.6; -10.5; -; 0.0; 1.5; 
5511; B.ESPE-PI230; 43980    # 01; BEA-T1-PI000; 772; OLTC; 20.3; 6.77; 300.0; -20.1; 2.9; -; 20.1; -2.9; 0.990 Ind; 0.0; 0.0; 
5511; B.ESPE-PI230; 44095    # 01; U.BESP-PI230; 772; TL; 99.9; 41.80; 239.0; -98.9; 13.2; -; 99.0; -13.4; 0.991 Ind; 0.1; -0.2; 
5530; CHAP1B-PI034; 5600    # 01; CHAP1BEOL045; 772; TL; 28.5; 0.29; 9999.0; -26.9; 9.5; -; 27.0; -8.8; 0.951 Ind; 0.1; 0.7; 
5570; S.J.PI-PI500; 6640    # 01; CURRAL-PI500; 771; TL; 351.6; 17.65; 1992.0; -69.7; 254.2; -; 70.3; -344.5; 0.200 Ind; 0.6; -90.3; 
5570; S.J.PI-PI500; 6743    # 01; NOLIND-PI500; 771; TL; 110.8; 5.16; 2148.0; -94.2; 1.3; -; 94.3; -58.3; 0.851 Ind; 0.0; -57.0; 
5570; S.J.PI-PI500; 7190    # 05; GILBU2-PI500; 771; TL; 342.8; 14.28; 2400.0; 303.6; -85.4; 0.963 Ind; -301.8; -162.6; -; 1.8; -248.0; 
5570; S.J.PI-PI500; 8167    # 01; FV_SJP-PI500; 771; TL; 98.9; 23.26; 425.0; -83.6; 31.4; -; 83.6; -52.8; 0.845 Ind; 0.0; -21.4; 
5570; S.J.PI-PI500; 8198    # 02; LDVENT-PI500; 771; TL; 263.3; 15.84; 1662.0; -207.7; 39.3; -; 208.1; -161.3; 0.790 Ind; 0.5; -122.0; 
5570; S.J.PI-PI500; 42344    # 01; SJPIT1-PI000; 771; TRAFO; 58.5; 19.51; 300.0; -51.1; -27.6; -; 51.1; 28.5; 0.873 Cap; 0.0; 0.9; 
5570; S.J.PI-PI500; 43952    # 05; SJ-SB1-PI500; 771; SWITCH; 448.6; 29.61; 1515.0; 370.0; -143.8; 0.932 Ind; -370.0; 253.6; -; 0.0; 109.8; 
5570; S.J.PI-PI500; 43953    # 06; SJ-BEA-PI500; 771; SWITCH; 277.2; 18.30; 1515.0; -174.5; -105.6; -; 174.5; 215.4; 0.630 Cap; 0.0; 109.8; 
5570; S.J.PI-PI500; 44084    # 02; SJPIT2-PI000; 771; TRAFO; 58.5; 19.51; 300.0; -51.1; -27.6; -; 51.1; 28.5; 0.873 Cap; 0.0; 0.9; 
5571; S.J.PI-PI230; 5037    # 03; LBARRO-PI230; 772; TL; 87.3; 20.74; 421.0; -82.4; -29.1; -; 82.8; 10.6; 0.992 Cap; 0.4; -18.5; 
5571; S.J.PI-PI230; 5573    # 02; S.J.PI-PI069; 772; OLTC; 28.7; 86.99; 33.0; 28.0; 6.3; 0.975 Cap; -28.0; -4.2; -; 0.0; 2.1; 
5571; S.J.PI-PI230; 5573    # 03; S.J.PI-PI069; 772; OLTC; 10.5; 31.94; 33.0; 10.3; 2.3; 0.975 Cap; -10.3; -1.5; -; 0.0; 0.8; 
5571; S.J.PI-PI230; 5573    # 04; S.J.PI-PI069; 772; OLTC; 10.7; 32.38; 33.0; 10.4; 2.4; 0.975 Cap; -10.4; -1.6; -; 0.0; 0.8; 
5571; S.J.PI-PI230; 5671    # 01; PICOS--PI230; 772; TL; 32.2; 16.16; 199.0; 23.5; -22.0; 0.729 Ind; -23.3; 9.9; -; 0.2; -12.1; 
5571; S.J.PI-PI230; 5681    # 02; E.MART-PI230; 772; TL; 51.8; 26.02; 199.0; 42.5; -29.5; 0.821 Ind; -41.9; 3.4; -; 0.6; -26.2; 
5571; S.J.PI-PI230; 8409    # 01; GRAVIO-PI230; 772; SWITCH; 135.1; 1.35; 9999.0; -134.5; 12.2; -; 134.5; -12.2; 0.996 Ind; 0.0; 0.0; 
5571; S.J.PI-PI230; 42344    # 01; SJPIT1-PI000; 772; OLTC; 58.6; 19.54; 300.0; 51.1; 28.7; 0.872 Cap; -51.1; -28.5; -; 0.0; 0.2; 
5571; S.J.PI-PI230; 44084    # 02; SJPIT2-PI000; 772; OLTC; 58.6; 19.54; 300.0; 51.1; 28.7; 0.872 Cap; -51.1; -28.5; -; 0.0; 0.2; 
5572; SJ-SB1CAP500; 6300    # 05; SOBRAD-BA500; 771; TL; 430.1; 24.83; 1732.0; 370.0; -219.2; 0.860 Ind; -367.2; 187.2; -; 2.8; -31.9; 
5574; SJ-BEACAP500; 5510    # 06; B.ESPE-PI500; 771; TL; 265.9; 15.35; 1732.0; -174.5; -200.6; -; 175.2; 4.7; 1.000 Cap; 0.7; -196.0; 
5576; RG-SJ2CAP500; 5570    # 04; S.J.PI-PI500; 771; TL; 252.7; 12.69; 1992.0; 209.4; -141.4; 0.829 Ind; -208.3; -38.8; -; 1.1; -180.3; 
5577; SJ-SB2CAP500; 6300    # 02; SOBRAD-BA500; 771; TL; 496.1; 24.91; 1992.0; 476.1; 62.5; 0.991 Cap; -472.7; -150.5; -; 3.4; -88.0; 
